Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
60800.0,-2.544079785,1.64094723,1.492674192,-0.830515444,-0.500834756,0.082448844,1.163971638,-0.364458615,2.467344632,2.664449156,0.896485187,0.481584041,-0.900995239,-1.676727304,-1.916666359,-0.529886361,-0.659372528,-0.227069683,-0.094586399,0.988076781,-0.604332508,0.157442089,-0.174914345,0.34978178,0.369261551,0.270209882,0.330707978,-0.544469225,68.58,0
60600.0,-1.121487157,-0.454337023,1.856982122,-0.245145242,0.667138068,0.236110937,-0.131604711,0.43368809,0.265282697,-0.877744538,0.432039759,1.124152039,-0.107358406,-0.450727349,-2.010140156,-0.256874108,-0.136440938,-0.407075434,-0.305023044,0.11420025,0.058749815,0.127292977,-0.033639028,-0.246493203,0.289946983,0.400302672,-0.04520524,0.003301877,49.93,0
97563.0,2.024540324,-0.238463683,-1.054007667,0.309823004,-0.003131766,-0.416990569,-0.223361379,-0.157146308,2.252870295,-0.395365035,1.278936421,-1.576324497,1.102683978,1.743476063,-1.76489813,-0.432407171,0.395947291,0.39048533,0.41394692,-0.303068671,-0.040303212,0.422396101,0.006177832,-0.404632127,0.163255137,0.1633099,-0.056197433,-0.083944092,3.3,0
71860.0,0.480803424,-1.817866196,0.791998522,-0.205778186,-1.698807177,0.223152322,-0.521208606,0.211679921,2.538995436,-1.457257093,-0.866861295,0.677019855,-1.039558198,-0.408348515,0.191722954,-1.225323558,0.691666985,-0.324756175,0.508287215,0.476439889,0.151626617,0.120093071,-0.35762982,0.109279627,0.380090097,-0.607875449,0.063207398,0.09042974,353.0,0
162542.0,2.060857378,0.116733237,-1.836535145,0.209041872,0.680498428,-0.332711195,0.088606942,-0.077602018,0.226407549,-0.214976234,0.827744004,0.82926309,0.272130715,-0.715852229,-0.492192281,0.613513505,0.070966333,0.284414329,0.48510312,-0.119813291,-0.335966544,-0.883574576,0.278211136,0.105801233,-0.229290503,0.177213544,-0.065375158,-0.044169811,0.89,0
81892.0,-0.957639808,0.86625867,1.690684908,-0.242408997,0.06959097,-0.387828948,0.454027528,-0.153593167,-0.488368315,-0.20053972,0.09469879,0.220379834,0.732498005,-0.011200945,1.761682871,-0.590231746,0.33082948,-0.754957856,0.929107545,0.043221342,0.009149659,0.030008413,-0.133822281,0.176216779,-0.040002239,1.135290235,-0.375523381,0.062362262,3.84,0
44185.0,-0.611839189,0.86283449,0.832825521,-1.329175199,-0.172592868,-0.751788666,0.250640425,0.441017577,-0.544457426,-0.882904663,0.7502506,0.610152249,-0.177438742,0.595384704,-0.31502088,0.922720588,-0.823640921,0.224525685,-0.26999018,-0.240097223,0.045170284,-0.105510523,-0.071754094,0.052313407,-0.243703248,0.754458528,-0.187787286,-0.050829198,3.07,0
48533.0,-1.321038142,0.447223239,0.534272678,-0.509824251,1.633673425,0.21250198,0.600004206,0.143855446,-0.328790993,-0.096470523,0.094634782,0.408639089,0.189701808,0.239682951,-0.279760555,0.60920452,-1.318275442,0.334557203,-0.837416232,-0.191081019,0.085141232,0.344870517,-0.376738816,-1.30232625,0.057635775,-0.516669092,0.146027454,0.285253437,40.98,0
127003.0,0.27330885,-0.411839975,0.420072537,-2.678829927,-0.550323433,-1.062374819,0.117337489,-0.352337146,-2.111091679,0.785344758,-1.077829641,-0.30389929,1.750813391,-0.767850795,-1.177921087,-0.596894873,0.155986998,-0.205466117,-0.696213271,-0.348332405,0.025083584,0.602149854,0.122539812,0.062451964,-1.113510237,-0.430760288,0.273182805,0.263090767,25.0,0
164281.0,2.117224532,-0.046834588,-1.372744661,0.236321886,0.248742455,-0.777151599,0.186657288,-0.302698552,0.55031344,0.06650665,-1.365469065,0.340957789,0.478694955,0.173761738,0.063824057,0.100719035,-0.577661159,-0.659201651,0.427939306,-0.183745597,-0.33600518,-0.813919443,0.244653219,-0.70809341,-0.188110565,0.241718065,-0.069697052,-0.067112946,0.89,0
